fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7;0.23;0.33;1;0.043;46;110;0.99118;03. Apr;0.65;10. Aug;6
8;0.13;0.25;01. Jan;0.033;15;86;0.99044;Feb 98;0.39;11. Feb;8
06. Feb;0.21;0.34;06. Jun;0.03;36;91;0.9914;Mrz 32;0.45;12. Mai;7
08. Mrz;0.4;0.41;08. Feb;0.05;15;122;0.9979;Mrz 39;0.49;09. Mrz;5
05. Sep;0.34;0.31;2;0.03;38;142;0.98892;03. Apr;0.41;12. Sep;7
06. Jun;0.12;0.25;01. Apr;0.039;21;131;0.99114;03. Feb;0.45;11. Feb;7
09. Jun;0.655;0.21;2;0.039;21;120;0.99188;3;1;12. Jun;6
06. Aug;0.26;0.4;07. Mai;0.046;45;179;0.99583;03. Feb;0.49;09. Mrz;5
05. Sep;0.34;0.31;2;0.03;38;142;0.98892;03. Apr;0.41;12. Sep;7
05. Sep;0.3;0.3;2;0.03;38;142;0.98892;Mrz 41;0.41;12. Sep;7
7;0.15;0.3;13. Mrz;0.049;46;120;0.99704;03. Feb;0.36;09. Mai;7
07. Sep;0.37;0.31;Feb 85;0.037;5;24;0.9911;Mrz 19;0.36;11. Sep;6
07. Feb;0.35;0.25;05. Jun;0.032;23;120;0.99334;Feb 93;0.66;10. Mrz;7
07. Feb;0.32;0.24;05. Jun;0.033;23;120;0.99334;Feb 92;0.66;10. Mrz;7
07. Jun;0.1;0.33;1;0.031;33;93;0.99094;03. Jun;0.68;11. Feb;6
06. Feb;0.25;0.31;03. Feb;0.03;32;150;0.99014;Mrz 18;0.31;12;6
07. Jan;0.31;0.17;1;0.042;21;144;0.99304;Mrz 13;0.4;09. Jun;5
07. Jun;0.18;0.28;07. Jan;0.041;29;110;0.99652;03. Feb;0.42;09. Feb;6
8;0.17;0.29;02. Apr;0.029;52;119;0.98944;03. Mrz;0.33;12. Sep;6
07. Feb;0.19;0.27;11. Feb;0.061;46;149;0.99772;Feb 99;0.59;09. Mrz;6
07. Jun;0.32;0.25;09. Mai;0.03;15;136;0.99367;03. Jan;0.44;12. Jan;6
07. Jan;0.31;0.17;1;0.042;21;144;0.99304;Mrz 13;0.4;09. Jun;5
06. Jun;0.21;0.29;01. Aug;0.026;35;128;0.99183;Mrz 37;0.48;11. Feb;6
7;0.16;0.36;02. Jun;0.029;28;98;0.99126;03. Nov;0.37;11. Feb;7
8;0.17;0.29;02. Apr;0.029;52;119;0.98944;03. Mrz;0.33;12. Sep;6
06. Jun;0.24;0.38;8;0.042;56;187;0.99577;Mrz 21;0.46;09. Feb;5
07. Feb;0.19;0.27;11. Feb;0.061;46;149;0.99772;Feb 99;0.59;09. Mrz;6
07. Jun;0.18;0.28;07. Jan;0.041;29;110;0.99652;03. Feb;0.42;09. Feb;6
06. Sep;0.3;0.25;03. Mrz;0.041;26;124;0.99428;Mrz 18;0.5;09. Mrz;6
06. Feb;0.28;0.27;10. Mrz;0.03;26;108;0.99388;03. Feb;0.36;10. Jul;6
06. Sep;0.31;0.32;01. Feb;0.024;20;166;0.99208;03. Mai;0.54;09. Aug;6
06. Jul;0.23;0.25;01. Jun;0.036;28;143;0.99256;03. Mrz;0.54;10. Mrz;6
06. Feb;0.28;0.27;10. Mrz;0.03;26;108;0.99388;03. Feb;0.36;10. Jul;6
05. Jul;0.23;0.28;Sep 65;0.025;26;121;0.9925;Mrz 28;0.38;11. Mrz;6
06. Mai;0.22;0.5;16. Apr;0.048;36;182;0.99904;03. Feb;0.49;08. Aug;6
7;0.18;0.37;01. Mai;0.043;16;104;0.99216;Mrz 18;0.5;10. Aug;5
06. Sep;0.31;0.32;01. Feb;0.024;20;166;0.99208;03. Mai;0.54;09. Aug;6
06. Sep;0.3;0.25;03. Mrz;0.041;26;124;0.99428;Mrz 18;0.5;09. Mrz;6
06. Mai;0.46;0.31;5;0.027;15;72;0.99165;Mrz 26;0.6;11. Mai;7
06. Mai;0.23;0.36;16. Mrz;0.038;43;133;0.99924;Mrz 26;0.41;08. Aug;5
06. Mai;0.23;0.36;16. Mrz;0.038;43;133;0.99924;Mrz 26;0.41;08. Aug;5
06. Mai;0.23;0.36;16. Mrz;0.038;43;133;0.99924;Mrz 26;0.41;08. Aug;5
06. Jun;0.26;0.38;06. Mai;0.17;68;201;0.9956;Mrz 19;0.38;09. Apr;6
06. Jul;0.26;0.39;06. Apr;0.171;64;200;0.99562;Mrz 19;0.38;09. Apr;6
07. Mai;0.28;0.39;10. Feb;0.045;59;209;0.9972;Mrz 16;0.63;09. Jun;6
06. Mai;0.23;0.36;16. Mrz;0.038;43;133;0.99924;Mrz 26;0.41;08. Aug;5
06. Aug;0.23;0.42;07. Apr;0.044;56;189;0.9958;Mrz 22;0.48;09. Mrz;6
07. Aug;0.25;0.34;13. Jul;0.044;66;184;0.99976;Mrz 22;0.75;08. Sep;5
07. Aug;0.25;0.34;13. Jul;0.044;66;184;0.99976;Mrz 22;0.75;08. Sep;5
05. Jun;0.2;0.22;01. Mrz;0.049;25;155;0.99296;Mrz 74;0.43;10;5
06. Apr;0.21;0.44;07. Apr;0.045;47;182;0.9957;Mrz 24;0.46;09. Jan;5
06. Aug;0.23;0.42;07. Apr;0.044;56;189;0.9958;Mrz 22;0.48;09. Mrz;6
06. Aug;0.24;0.37;Jul 45;0.043;59;188;0.99579;03. Feb;0.5;09. Apr;6
07. Aug;0.25;0.28;07. Feb;0.04;46;179;0.99541;Mrz 14;0.6;10. Jan;6
07. Aug;0.25;0.34;13. Jul;0.044;66;184;0.99976;Mrz 22;0.75;08. Sep;5
06. Aug;0.16;0.29;10. Apr;0.046;59;143;0.99518;03. Feb;0.4;10. Aug;6
05. Feb;0.28;0.29;01. Jan;0.028;18;69;0.99168;Mrz 24;0.54;10;6
07. Mai;0.18;0.31;06. Mai;0.029;53;160;0.99276;03. Mrz;0.38;10. Sep;6
07. Mai;0.26;0.3;04. Jun;0.027;29;92;0.99085;Mrz 15;0.38;12;7
08. Feb;0.37;0.64;13. Sep;0.043;22;171;0.99873;Feb 99;0.8;09. Mrz;5
07. Jun;0.4;0.27;05. Feb;0.03;32;101;0.99172;Mrz 22;0.62;12. Mrz;7
07. Mai;0.26;0.25;01. Jul;0.038;29;129;0.99312;Mrz 45;0.56;10. Apr;6
07. Mai;0.18;0.31;06. Mai;0.029;53;160;0.99276;03. Mrz;0.38;10. Sep;6
06. Sep;0.23;0.32;16. Apr;0.045;62;153;0.9972;Mrz 22;0.42;10. Mai;5
05. Mrz;0.2;0.31;03. Jun;0.036;22;91;0.99278;Mrz 41;0.5;09. Aug;6
06. Mai;0.17;0.31;01. Mai;0.041;34;121;0.99092;03. Jun;0.46;10. Mai;6
06. Mai;0.35;0.28;12. Apr;0.051;86;213;0.9962;Mrz 16;0.51;09. Sep;6
06. Mai;0.29;0.31;01. Jul;0.035;24;79;0.99053;Mrz 27;0.69;11. Apr;7
06. Aug;0.3;0.22;06. Feb;0.06;41;190;0.99858;Mrz 18;0.51;09. Feb;5
07. Sep;0.51;0.36;06. Feb;0.051;30;173;0.9984;03. Sep;0.53;09. Jul;5
07. Sep;0.51;0.34;02. Jun;0.049;13;135;0.99335;03. Sep;0.51;10;5
06. Mai;0.29;0.31;01. Jul;0.035;24;79;0.99053;Mrz 27;0.69;11. Apr;7
07. Jan;0.29;0.28;09. Mrz;0.048;50;141;0.9949;Mrz 13;0.49;10. Mrz;6
06. Mai;0.35;0.28;12. Apr;0.051;86;213;0.9962;Mrz 16;0.51;09. Sep;6
06. Mai;0.17;0.31;01. Mai;0.041;34;121;0.99092;03. Jun;0.46;10. Mai;6
07. Apr;0.2;0.28;09. Jan;0.047;29;95;0.99532;Mrz 16;0.47;09. Aug;7
06. Sep;0.615;0.42;12;0.067;24;131;0.99727;Mrz 19;0.34;09. Mrz;5
06. Aug;0.32;0.28;04. Aug;0.034;25;100;0.99026;03. Aug;0.47;12. Apr;7
06. Mrz;0.2;0.19;12. Mrz;0.048;54;145;0.99668;Mrz 16;0.42;09. Mrz;6
06. Sep;0.615;0.42;12;0.067;24;131;0.99727;Mrz 19;0.34;09. Mrz;5
8;0.23;0.28;02. Jul;0.048;49;165;0.9952;Mrz 26;0.72;09. Mai;6
06. Jul;0.27;0.33;03. Jun;0.034;9;45;0.99144;03. Aug;0.4;10. Mai;6
06. Jul;0.27;0.33;03. Jun;0.034;9;45;0.99144;03. Aug;0.4;10. Mai;6
06. Jul;0.44;0.22;04. Mrz;0.032;19;99;0.99015;Mrz 26;0.53;12. Aug;7
7;0.34;0.3;01. Aug;0.045;44;142;0.9914;Feb 99;0.45;10. Aug;6
07. Mrz;0.26;0.33;11. Aug;0.057;48;127;0.99693;03. Jan;0.55;10;6
05. Aug;0.17;0.34;01. Aug;0.045;96;170;0.99035;Mrz 38;0.9;11. Aug;8
07. Mrz;0.26;0.33;11. Aug;0.057;48;127;0.99693;03. Jan;0.55;10;6
05. Aug;0.17;0.34;01. Aug;0.045;96;170;0.99035;Mrz 38;0.9;11. Aug;8
06. Aug;0.17;0.36;01. Apr;0.036;38;108;0.99006;Mrz 19;0.66;12;6
07. Jan;0.43;0.3;06. Jun;0.025;15;138;0.99126;Mrz 18;0.46;12. Jun;6
05. Aug;0.315;0.27;Jan 55;0.026;15;70;0.98994;Mrz 37;0.4;11. Sep;8
05. Sep;0.17;0.28;0.7;0.027;5;28;0.98985;Mrz 13;0.32;10. Jun;5
06. Jun;0.34;0.18;06. Apr;0.082;47;240;0.9971;Mrz 42;0.48;09. Feb;5
08. Jun;0.33;0.34;11. Aug;0.059;42;240;0.99882;Mrz 17;0.52;10;6
05. Jun;0.12;0.26;04. Mrz;0.038;18;97;0.99477;Mrz 36;0.46;09. Feb;5
05. Aug;0.13;0.26;05. Jan;0.039;19;103;0.99478;Mrz 36;0.47;09. Mrz;6
07. Jul;0.18;0.35;05. Aug;0.055;25;144;0.99576;Mrz 24;0.54;10. Feb;6
07. Jul;0.16;0.36;05. Sep;0.054;25;148;0.99578;Mrz 25;0.54;10. Feb;6
6;0.26;0.15;01. Mrz;0.06;51;154;0.99354;Mrz 14;0.51;08. Jul;5
07. Mrz;0.32;0.35;01. Apr;0.05;8;163;0.99244;Mrz 24;0.42;10. Jul;5
07. Jul;0.3;0.34;01. Feb;0.048;4;119;0.99084;Mrz 18;0.34;12. Jan;6
07. Sep;0.16;0.3;07. Apr;0.05;58;152;0.99612;03. Dez;0.37;09. Mai;6
06. Apr;0.27;0.29;10. Aug;0.028;17;118;0.99356;Mrz 18;0.37;11. Feb;6
06. Sep;0.16;0.37;01. Aug;0.034;36;95;0.98952;Feb 93;0.59;12;6
07. Sep;0.16;0.3;07. Apr;0.05;58;152;0.99612;03. Dez;0.37;09. Mai;6
07. Jul;0.3;0.34;01. Feb;0.048;4;119;0.99084;Mrz 18;0.34;12. Jan;6
07. Mrz;0.32;0.35;01. Apr;0.05;8;163;0.99244;Mrz 24;0.42;10. Jul;5
06. Apr;0.44;0.44;14. Apr;0.048;29;228;0.99955;Mrz 26;0.54;08. Aug;7
06. Mrz;0.2;0.24;01. Jul;0.052;36;135;0.99374;03. Aug;0.66;10. Aug;6
06. Feb;0.29;0.32;03. Jun;0.026;39;138;0.9892;Mrz 31;0.37;13. Jan;7
07. Jun;0.39;0.32;03. Jun;0.035;22;93;0.99144;03. Aug;0.6;12. Mai;7
7;0.36;0.32;10. Mai;0.045;37;131;0.99352;03. Sep;0.33;11. Jul;8
7;0.36;0.32;10. Mai;0.045;37;131;0.99352;03. Sep;0.33;11. Jul;8
7;0.36;0.32;10. Mai;0.045;35;135;0.9935;03. Sep;0.33;11. Jun;8
07. Jun;0.2;0.36;01. Sep;0.043;24;111;0.99237;Mrz 29;0.54;11. Mrz;6
07. Jun;0.39;0.32;03. Jun;0.035;22;93;0.99144;03. Aug;0.6;12. Mai;7
06. Jul;0.2;0.37;Jan 65;0.025;42;103;0.99022;03. Nov;0.45;11. Apr;5
06. Feb;0.235;0.34;01. Sep;0.036;4;117;0.99032;03. Apr;0.44;12. Feb;5
07. Aug;0.965;0.6;65.8;0.074;8;160;103.898;Mrz 39;0.69;11. Jul;6
07. Jan;0.2;0.31;Jun 85;0.053;32;211;0.99587;Mrz 31;0.59;10. Apr;6
07. Jan;0.2;0.31;07. Apr;0.053;32;211;0.99587;Mrz 31;0.59;10. Apr;6
07. Jan;0.2;0.31;07. Apr;0.053;32;211;0.99587;Mrz 31;0.59;10. Apr;6
06. Apr;0.24;0.25;20. Feb;0.083;35;157;0.99976;Mrz 17;0.5;09. Jan;5
8;0.3;0.36;11;0.034;8;70;0.99354;03. Mai;0.41;12. Feb;6
06. Apr;0.24;0.25;20. Feb;0.083;35;157;0.99976;Mrz 17;0.5;09. Jan;5
06. Sep;0.4;0.42;06. Feb;0.066;41;176;0.99552;03. Dez;0.54;09. Apr;5
06. Sep;0.4;0.43;06. Feb;0.065;42;178;0.99552;03. Nov;0.53;09. Apr;5
07. Jan;0.2;0.31;Jun 85;0.053;32;211;0.99587;Mrz 31;0.59;10. Apr;6
06. Jun;0.25;0.51;8;0.047;61;189;0.99604;Mrz 22;0.49;09. Feb;5
06. Aug;0.26;0.44;08. Feb;0.046;52;183;0.99584;03. Feb;0.51;09. Apr;5
06. Mai;0.37;0.3;02. Feb;0.033;39;107;0.98894;Mrz 22;0.53;13. Mai;7
06. Aug;0.35;0.53;10. Jan;0.053;37;151;0.9963;03. Jul;0.4;09. Apr;5
06. Apr;0.22;0.32;07. Feb;0.028;15;83;0.993;Mrz 13;0.55;10. Sep;8
06. Mai;0.37;0.3;02. Feb;0.033;39;107;0.98894;Mrz 22;0.53;13. Mai;7
06. Aug;0.35;0.53;10. Jan;0.053;37;151;0.9963;03. Jul;0.4;09. Apr;5
06. Sep;0.31;0.32;01. Jun;0.036;34;114;0.99068;Mrz 19;0.45;11. Apr;7
06. Jul;0.16;0.37;01. Mrz;0.036;45;125;0.98964;Mrz 19;0.51;12. Apr;7
06. Jun;0.25;0.51;8;0.047;61;189;0.99604;Mrz 22;0.49;09. Feb;5
06. Aug;0.26;0.44;08. Feb;0.046;52;183;0.99584;03. Feb;0.51;09. Apr;5
05. Jun;0.15;0.31;05. Mrz;0.038;8;79;0.9923;03. Mrz;0.39;10. Mai;6
05. Mai;0.15;0.32;14;0.031;16;99;0.99437;Mrz 26;0.38;11. Mai;8
06. Apr;0.22;0.32;07. Feb;0.028;15;83;0.993;Mrz 13;0.55;10. Sep;8
07. Mrz;0.2;0.26;01. Jun;0.04;36;123;0.99238;Mrz 34;0.44;10. Aug;6
07. Mai;0.17;0.71;11. Aug;0.038;52;148;0.99801;03. Mrz;0.46;08. Sep;5
07. Mai;0.18;0.72;09. Jun;0.039;53;151;0.99802;03. Mrz;0.46;08. Sep;5
7;0.27;0.48;06. Jan;0.042;60;184;0.99566;03. Feb;0.5;09. Apr;6
05. Aug;0.32;0.31;02. Jul;0.049;25;153;0.99067;Mrz 44;0.73;12. Feb;7
07. Aug;0.26;0.31;03. Jun;0.025;22;100;0.99066;Feb 99;0.47;12. Jan;7
07. Apr;0.3;0.32;01. Jul;0.03;23;128;0.9929;Mrz 17;0.66;10. Sep;5
06. Jul;0.16;0.34;01. Jun;0.026;27;109;0.9934;Mrz 34;0.58;10. Jan;6
05. Aug;0.32;0.31;02. Jul;0.049;25;153;0.99067;Mrz 44;0.73;12. Feb;7
06. Jul;0.19;0.39;1;0.032;14;71;0.98912;Mrz 31;0.38;13;7
06. Jun;0.36;0.24;0.9;0.038;15;72;0.99066;Mrz 23;0.39;11;5
07. Feb;0.17;0.41;01. Jun;0.052;24;126;0.99228;Mrz 19;0.49;10. Aug;5
06. Jul;0.19;0.39;1;0.032;14;71;0.98912;Mrz 31;0.38;13;7
6;0.11;0.47;10. Jun;0.052;69;148;0.9958;Feb 91;0.34;09. Mrz;4
6;0.21;0.34;2;0.042;63;123;0.99052;Mrz 44;0.42;11. Apr;6
06. Jul;0.325;0.82;01. Feb;0.152;49;120;0.99312;Feb 99;0.38;09. Feb;5
06. Jun;0.4;0.46;06. Feb;0.056;42;241;0.9968;03. Mai;0.6;09. Sep;5
06. Mai;0.2;0.24;09. Feb;0.044;25;150;0.99502;Mrz 22;0.44;10. Mai;5
07. Jun;0.27;0.34;5;0.04;18;56;0.99084;03. Jun;0.48;12. Apr;6
07. Feb;0.26;0.4;06. Mrz;0.047;52;172;0.99573;Mrz 18;0.53;09. Mai;6
06. Mrz;0.25;0.22;03. Mrz;0.048;41;161;0.99256;Mrz 16;0.5;10. Mai;6
06. Mai;0.22;0.45;8;0.053;52;196;0.9959;Mrz 23;0.48;09. Jan;6
06. Apr;0.14;0.31;01. Feb;0.034;53;138;0.99084;Mrz 38;0.35;11. Mai;7
06. Apr;0.14;0.31;01. Feb;0.034;53;138;0.99084;Mrz 38;0.35;11. Mai;7
07. Jan;0.26;0.32;16. Feb;0.044;31;170;0.99644;Mrz 17;0.37;11. Feb;5
06. Jun;0.22;0.34;11. Jun;0.05;59;140;0.99526;Mrz 22;0.4;10. Aug;5
06. Jun;0.45;0.43;07. Feb;0.064;31;186;0.9954;03. Dez;0.44;09. Apr;5
06. Jun;0.17;0.3;01. Jan;0.031;13;73;0.99095;Mrz 17;0.58;11;6
07. Feb;0.44;0.28;03. Apr;0.048;22;112;0.99188;Mrz 21;0.37;11. Mrz;7
06. Feb;0.15;0.27;01. Apr;0.041;51;117;0.9909;Mrz 28;0.38;11. Feb;6
06. Mrz;0.25;0.22;03. Mrz;0.048;41;161;0.99256;Mrz 16;0.5;10. Mai;6
06. Mai;0.22;0.45;8;0.053;52;196;0.9959;Mrz 23;0.48;09. Jan;6
07. Mrz;0.26;0.3;09. Mrz;0.05;35;154;0.99581;Mrz 21;0.5;10. Apr;6
06. Sep;0.15;0.29;02. Mrz;0.033;14;82;0.99132;03. Jan;0.58;11. Feb;7
05. Aug;0.22;0.29;0.9;0.034;34;89;0.98936;Mrz 14;0.36;11. Jan;7
06. Mai;0.37;0.33;03. Mai;0.036;23;92;0.99136;Mrz 18;0.38;11. Feb;6
05. Mai;0.375;0.38;01. Jul;0.036;17;98;0.99142;Mrz 29;0.39;10. Mai;6
05. Sep;0.2;0.4;01. Mrz;0.047;23;92;0.99232;03. Feb;0.45;10;6
05. Sep;0.22;0.38;01. Mrz;0.046;24;90;0.99232;03. Feb;0.47;10;6
8;0.22;0.31;05. Jun;0.049;24;97;0.993;03. Jan;0.42;10. Sep;5
06. Mai;0.22;0.29;07. Apr;0.028;16;87;0.99311;Mrz 15;0.56;10. Sep;7
06. Sep;0.15;0.29;02. Mrz;0.033;14;82;0.99132;03. Jan;0.58;11. Feb;7
05. Aug;0.2;0.34;1;0.035;40;86;0.98993;03. Mai;0.42;11. Jul;5
06. Jun;0.31;0.07;01. Mai;0.033;55;144;0.99208;Mrz 16;0.42;10;5
07. Jul;0.43;0.37;10;0.169;22;210;0.99776;03. Feb;0.64;09. Mai;5
06. Jul;0.24;0.29;14. Sep;0.053;55;136;0.99839;03. Mrz;0.52;9;5
07. Mrz;0.23;0.34;09. Mrz;0.052;19;86;0.99574;03. Apr;0.56;10;5
07. Sep;0.2;0.39;1;0.041;37;154;0.99093;03. Aug;0.43;11. Sep;5
05. Mrz;0.16;0.39;1;0.028;40;101;0.99156;Mrz 57;0.59;10. Jun;6
06. Apr;0.21;0.28;05. Sep;0.047;29;101;0.99278;Mrz 15;0.4;11;6
06. Sep;0.33;0.26;5;0.027;46;143;0.9924;Mrz 25;0.43;11. Feb;7
05. Jun;0.18;0.58;Jan 25;0.034;29;129;0.98984;Mrz 51;0.6;12;7
06. Jun;0.29;0.31;03. Sep;0.027;39;96;0.99035;Mrz 24;0.6;12. Jun;8
06. Sep;0.33;0.26;5;0.027;46;143;0.9924;Mrz 25;0.43;11. Feb;7
06. Jun;0.21;0.36;0.8;0.034;48;113;0.99165;Mrz 24;0.68;10. Mai;6
07. Mrz;0.21;0.33;1;0.037;66;144;0.9923;03. Nov;0.52;10. Feb;6
06. Apr;0.21;0.28;05. Sep;0.047;29;101;0.99278;Mrz 15;0.4;11;6
05. Jan;0.11;0.32;01. Jun;0.028;12;90;0.99008;Mrz 57;0.52;12. Feb;6
06. Mai;0.15;0.32;01. Mrz;0.036;19;76;0.98964;Mrz 18;0.41;12. Mrz;6
05. Mrz;0.16;0.39;1;0.028;40;101;0.99156;Mrz 57;0.59;10. Jun;6
05. Jun;0.19;0.46;01. Jan;0.032;33;115;0.9909;Mrz 36;0.5;10. Apr;6
05. Jun;0.18;0.58;Jan 25;0.034;29;129;0.98984;Mrz 51;0.6;12;7
06. Jul;0.48;0.32;01. Apr;0.021;22;121;0.9889;Mrz 15;0.53;12. Jul;7
06. Feb;0.23;0.23;01. Feb;0.018;18;128;0.99178;03. Mai;0.28;10. Jun;5
6;0.17;0.29;5;0.028;25;108;0.99076;Mrz 14;0.34;12. Mrz;6
06. Jul;0.48;0.32;01. Apr;0.021;22;121;0.9889;Mrz 15;0.53;12. Jul;7
06. Jul;0.15;0.38;01. Jul;0.037;20;84;0.99046;03. Sep;0.53;11. Apr;6
04. Feb;0.17;0.36;01. Aug;0.029;93;161;0.98999;Mrz 65;0.89;12;7
05. Aug;0.21;0.32;01. Jun;0.045;38;95;0.98946;Mrz 23;0.94;12. Apr;8
05. Apr;0.23;0.36;01. Mai;0.03;74;121;0.98976;Mrz 24;0.99;12. Jan;7
06. Jul;0.15;0.38;01. Jul;0.037;20;84;0.99046;03. Sep;0.53;11. Apr;6
06. Apr;0.22;0.31;13. Sep;0.04;57;135;0.99672;Mrz 21;0.38;10. Jul;5
06. Mai;0.15;0.55;05. Sep;0.045;75;162;0.99482;Feb 97;0.4;09. Mrz;5
05. Sep;0.32;0.33;02. Jan;0.027;35;138;0.98945;Mrz 37;0.42;12. Jul;6
05. Jul;0.37;0.3;01. Jan;0.029;24;88;0.98883;Mrz 18;0.39;11. Jul;6
07. Sep;0.25;0.35;06. Jul;0.039;22;64;0.99362;Feb 93;0.49;10. Jul;5
07. Feb;0.21;0.28;02. Jul;0.033;38;94;0.99075;Feb 99;0.43;11. Aug;7
7;0.24;0.3;06. Jul;0.039;37;125;0.99436;03. Feb;0.39;09. Sep;5
06. Aug;0.475;0.33;Mrz 95;0.047;16;81;0.98988;Mrz 23;0.53;13. Apr;7
7;0.28;0.32;Jul 75;0.032;30;114;0.99158;03. Dez;0.64;12. Aug;7
06. Sep;0.4;0.3;10. Jun;0.033;24;87;0.99265;Mrz 15;0.45;12. Aug;6
06. Jun;0.41;0.31;01. Jun;0.042;18;101;0.99195;Mrz 13;0.41;10. Mai;5
06. Apr;0.2;0.28;02. Mai;0.032;24;84;0.99168;Mrz 31;0.55;11. Mai;5
08. Mai;0.22;0.34;0.7;0.04;5;25;0.9918;03. Apr;0.37;10. Mai;4
08. Apr;0.36;0.36;11. Jan;0.032;21;132;0.99313;Feb 95;0.39;13;6
05. Feb;0.285;0.29;Mai 15;0.035;64;138;0.9895;Mrz 19;0.34;12. Apr;8
06. Sep;0.2;0.3;04. Jul;0.041;40;148;0.9932;Mrz 16;0.35;10. Feb;6
06. Jul;0.42;0.46;09. Jul;0.054;67;234;0.99848;Mrz 23;0.5;9;5
06. Feb;0.16;0.34;01. Jul;0.038;85;153;0.9909;Mrz 33;0.86;12;7
06. Apr;0.125;0.36;01. Apr;0.044;22;68;0.99014;Mrz 15;0.5;11. Jul;7
06. Apr;0.44;0.26;2;0.054;20;180;0.9952;Mrz 58;0.57;10;5
7;0.31;0.39;07. Mai;0.055;42;218;0.99652;Mrz 37;0.54;10. Mrz;5
06. Jul;0.42;0.46;09. Jul;0.054;67;234;0.99848;Mrz 23;0.5;9;5
08. Jun;0.18;0.28;0.8;0.032;25;78;0.99104;Feb 99;0.38;11. Jan;5
06. Feb;0.21;0.26;13. Jan;0.05;59;150;0.99772;Mrz 31;0.46;9;5
06. Jan;0.16;0.37;01. Jan;0.031;37;97;0.9922;03. Apr;0.58;10. Mai;6
06. Mai;0.22;0.32;02. Feb;0.028;36;92;0.99076;Mrz 27;0.59;11. Sep;7
06. Feb;0.36;0.14;08. Sep;0.036;38;155;0.99622;Mrz 27;0.5;09. Apr;5
05. Jul;0.21;0.25;01. Jan;0.035;26;81;0.9902;Mrz 31;0.52;11. Apr;6
06. Apr;0.25;0.32;0.9;0.034;40;114;0.99114;Mrz 31;0.58;10. Aug;7
07. Jun;0.31;0.26;01. Jul;0.073;40;157;0.9938;03. Jan;0.46;09. Aug;5
06. Jun;0.26;0.46;06. Sep;0.047;59;183;0.99594;03. Feb;0.45;09. Mrz;5
05. Jul;0.21;0.25;01. Jan;0.035;26;81;0.9902;Mrz 31;0.52;11. Apr;6
06. Feb;0.2;0.31;1;0.031;22;73;0.99035;Mrz 24;0.52;11. Mrz;6
06. Feb;0.18;0.3;1;0.031;23;73;0.99032;Mrz 23;0.52;11. Mrz;6
06. Jan;0.37;0.2;07. Jun;0.031;49;170;0.99558;Mrz 22;0.48;09. Mai;5
06. Feb;0.36;0.14;08. Sep;0.036;38;155;0.99622;Mrz 27;0.5;09. Apr;5
06. Mai;0.22;0.32;02. Feb;0.028;36;92;0.99076;Mrz 27;0.59;11. Sep;7
07. Jul;0.18;0.3;01. Feb;0.046;49;199;0.99413;03. Mrz;0.38;09. Mrz;5
06. Sep;0.14;0.38;1;0.041;22;81;0.99043;03. Mrz;0.54;11. Apr;6
06. Sep;0.14;0.38;1;0.041;22;81;0.99043;03. Mrz;0.54;11. Apr;6
6;0.44;0.26;03. Jan;0.053;57;128;0.98982;Mrz 22;0.39;12. Jul;6
07. Jan;0.36;0.4;Jan 95;0.033;26;118;0.98934;03. Feb;0.45;13. Mai;7
05. Jul;0.28;0.28;02. Feb;0.019;15;65;0.9902;03. Jun;0.52;11. Feb;6
06. Apr;0.16;0.32;Aug 75;0.038;38;118;0.99449;Mrz 19;0.41;10. Jul;5
07. Apr;0.28;0.4;11. Sep;0.032;13;92;0.99629;03. Jan;0.46;10. Aug;4
06. Jul;0.39;0.31;02. Jul;0.054;27;202;0.9948;Mrz 46;0.57;10. Mai;6
06. Mai;0.44;0.47;Mai 45;0.014;44;137;0.98984;Mrz 13;0.32;13;8
06. Sep;0.22;0.31;06. Mrz;0.029;41;131;0.99326;03. Aug;0.49;10. Aug;6
06. Jun;0.22;0.29;14. Apr;0.046;39;118;0.99834;03. Mai;0.5;09. Jan;6
07. Jul;0.25;0.3;07. Aug;0.038;67;196;0.99555;03. Jan;0.5;10. Jan;5
05. Feb;0.155;0.33;01. Jun;0.028;13;59;0.98975;03. Mrz;0.84;11. Sep;8
7;0.31;0.31;09. Jan;0.036;45;140;0.99216;Feb 98;0.31;12;7
7;0.31;0.31;09. Jan;0.036;45;140;0.99216;Feb 98;0.31;12;7
06. Jun;0.22;0.29;14. Apr;0.046;39;118;0.99834;03. Mai;0.5;09. Jan;6
05. Jun;0.21;0.4;01. Mrz;0.041;81;147;0.9901;Mrz 22;0.95;11. Jun;8
05. Feb;0.155;0.33;01. Jun;0.028;13;59;0.98975;03. Mrz;0.84;11. Sep;8
06. Apr;0.25;0.32;11. Mrz;0.038;69;192;0.99573;Mrz 14;0.5;10. Feb;6
06. Sep;0.22;0.31;06. Mrz;0.029;41;131;0.99326;03. Aug;0.49;10. Aug;6
05. Mrz;0.21;0.29;0.7;0.028;11;66;0.99215;03. Mrz;0.4;09. Aug;5
07. Jan;0.27;0.28;Jan 25;0.023;3;89;0.98993;Feb 95;0.3;11. Apr;4
05. Feb;0.17;0.27;0.7;0.03;11;68;0.99218;03. Mrz;0.41;09. Aug;5
07. Jul;0.25;0.3;07. Aug;0.038;67;196;0.99555;03. Jan;0.5;10. Jan;5
